SP00311|CNY|20170718|20190722|311.42363
SP00158|CNY|20180508|20200511|310.984972
SP00099|USD|20171219|20180123|0.0
SP00204|USD|20170120|20190128|319.475532
SP00269|USD|20170522|20190528|313.49603
SP00069|CNY|20171019|20181024|0.0
SP01202|CNY|20160919|20180920|0.0
SP00716|USD|20180720|20200727|299.933428
SP00920|CNY|20170525|20170830|0.0
SP01065|CNY|20151130|20171204|0.0
SP00742|CNY|20170728|20180202|0.0
SP00303|USD|20170627|20190701|304.41986
SP01198|CNY|20160831|20180906|0.0
SP00813|CNY|20151015|20171020|0.0
SP00333|AUD|20170721|20190726|308.872694
SP00372|CNY|20170831|20190906|350.218958
SP00536|CNY|20180130|20200206|295.19454
SP00034|CNY|20170717|20170821|0.0
SP00973|CNY|20180321|20180626|0.0
SP00516|CNY|20180111|20200116|313.703584
SP00470|CNY|20171124|20191129|294.726366
SP00579|USD|20180228|20200304|295.73619
SP00185|USD|20180719|20190125|308.603596
SP00040|USD|20170728|20170905|0.0
SP00149|USD|20180419|20180524|0.0
SP00574|CNY|20180228|20200304|291.400478
SP00745|CNY|20170915|20180320|0.0
SP00314|CNY|20170711|20190715|315.722918
SP00326|CNY|20170731|20190805|354.89222
SP01232|CNY|20161121|20181127|0.0
SP01058|CNY|20151116|20171120|0.0
SP01070|CNY|20151216|20171221|0.0
SP01197|CNY|20160831|20180906|0.0
SP00936|CNY|20170915|20180320|0.0
SP00157|CNY|20180508|20181113|0.0
SP00465|AUD|20171115|20191120|306.853046
SP00596|CNY|20180329|20200403|313.578298
SP00402|CNY|20170927|20191009|298.931454
SP01278|CNY|20170918|20190923|318.481094
SP00097|USD|20171219|20180625|0.0
SP00177|CNY|20180628|20200706|306.651772
SP00156|USD|20180508|20180813|0.0
SP00568|CNY|20180208|20200213|299.062078
SP00553|CNY|20180214|20200220|298.092132
SP00047|CNY|20170817|20180123|0.0
SP00478|CNY|20171213|20191218|297.003808
SP00567|USD|20180209|20200214|302.244468
SP01118|CNY|20160331|20180411|0.0
SP00954|CNY|20171212|20180315|0.0
SP00646|CNY|20180511|20200518|298.759382
SP01154|CNY|20160531|20180604|0.0
SP00084|CNY|20171128|20180131|0.0
SP00493|USD|20171220|20191226|298.075176
SP00389|CNY|20170929|20191011|300.765842
SP00857|CNY|20160729|20180803|0.0
SP00131|CNY|20180313|20180516|0.0
SP01188|CNY|20160729|20180803|0.0
SP00253|CNY|20170516|20190521|301.163994
SP00938|CNY|20170921|20180326|0.0
SP01124|CNY|20160419|20180423|0.0
SP00832|CNY|20160419|20180423|0.0
SP00633|CNY|20180420|20200427|303.691694
SP00361|CNY|20170831|20190906|353.735758
SP00870|USD|20160830|20180904|0.0
SP00537|CNY|20180130|20200206|291.70914
SP00412|USD|20171013|20191021|299.820702
SP00797|CNY|20150416|20180228|0.0
SP00835|CNY|20160331|20180411|0.0
SP00325|CNY|20170731|20190805|310.08442
SP00384|USD|20170912|20190917|333.03625
SP00580|USD|20180228|20200304|312.72359
SP00730|CNY|20170111|20170717|0.0
SP00566|CNY|20180207|20200212|292.066472
SP00805|CNY|20150731|20170807|0.0
SP01049|CNY|20151030|20171106|0.0
SP00650|CNY|20180511|20200518|297.471982
SP00477|CNY|20171213|20191218|297.160808
SP00413|USD|20171016|20191021|320.589918
SP00675|USD|20180531|20200604|295.030946
SP00551|CNY|20180126|20200206|307.308032
SP00111|CNY|20180118|20180723|0.0
SP00363|CNY|20170831|20190906|306.918358
SP00829|CNY|20160331|20180412|0.0
