CPI|500999800476468|500999800489098|20150826|CNY|628000.00|628000.00|628000.00|SP01027
CPI|500999800617725|500999802773795|20161021|CNY|1099000.00|1099000.00|1099000.00|SP00891
CPI|500999800797505|500999803124768|20170623|CNY|1570000.00|1570000.00|52333.34|SP00289
CPI|500999800274590|500999800130934|20160509|USD|145545.28|985981.95|991066.80|SP01175
CPI|500999800764080|500999803078982|20170524|CNY|1570000.00|1570000.00|785000.00|SP00273
CPI|500999800760079|500999803046580|20170428|CNY|628000.00|628000.00|628000.00|SP00917
CPI|500999800630456|500999803021457|20170411|CNY|1118502.54|1118502.54|1118502.54|SP00237
CPI|500999800487885|500999800165099|20160407|USD|31400.00|212716.16|213813.18|SP00836
CPI|500999800616163|500999802780026|20161025|CNY|314000.00|314000.00|314000.00|SP00888
CPI|500999800345676|500999803094568|20170605|CNY|1993900.00|1993900.00|1262803.34|SP00922
CPI|500999800599760|500999802273292|20160809|CNY|1570000.00|1570000.00|1570000.00|SP00862
CPI|500999800232601|500999802215134|20160325|CNY|2198000.00|2198000.00|2198000.00|SP01118
CPI|500999800520834|500999802296219|20160829|CNY|2574800.00|2574800.00|2574800.00|SP00872
CPI|500999800557636|500999803017619|20170407|CNY|9420000.00|9420000.00|9420000.00|SP01258
CPI|500999800601471|500999802897168|20170110|USD|138788.00|940205.43|945054.22|SP00205
CPI|500999800403803|500999803018071|20170410|USD|64370.00|436068.13|438317.00|SP00251
CPI|500999800616552|500999802897116|20170110|USD|62787.44|425347.23|427540.83|SP00204
CPI|500999800569480|500999802996580|20170322|CNY|1287400.00|1287400.00|1287400.00|SP00737
CPI|500999800748769|500999803096763|20170606|CNY|6280000.00|6280000.00|3977333.34|SP00921
CPI|500999800552422|500999802217320|20160331|CNY|628000.00|628000.00|628000.00|SP01130
CPI|500999800663087|500999803117859|20170620|CNY|502400.00|502400.00|83733.34|SP00925
CPI|500999800497343|500999803002740|20170327|CNY|1570000.00|1570000.00|1570000.00|SP00913
CPI|500999800193204|500999800479230|20150410|CNY|628000.00|628000.00|628000.00|SP00797
CPI|500999800327133|500999802219763|20160622|CNY|942000.00|942000.00|942000.00|SP00845
CPI|500999800664829|500999803006733|20170329|CNY|314000.00|314000.00|314000.00|SP00913
CPI|500999800605455|500999802306290|20160906|CNY|785000.00|785000.00|785000.00|SP01204
CPI|500999800318954|500999803107713|20170613|CNY|439600.00|439600.00|73266.66|SP00924
CPI|500999800629663|500999802865519|20161216|CNY|715920.00|715920.00|715920.00|SP00908
CPI|500999800591756|500999803077489|20170523|USD|94200.00|638148.48|342489.22|SP00020
